api_version,kind,status,name,name_hash,signature,source_owner,compatibility
88.3,Function,-,LL_RCC_GetI2CClockFreq,0x4116108b,uint32_t LL_RCC_GetI2CClockFreq(uint32_t),lib/stm32wb_hal/Inc/stm32wbxx_ll_rcc.h,disabled
88.3,Function,-,LL_RCC_GetLPTIMClockFreq,0x80ba0cb3,uint32_t LL_RCC_GetLPTIMClockFreq(uint32_t),lib/stm32wb_hal/Inc/stm32wbxx_ll_rcc.h,disabled
88.3,Function,+,LL_RCC_GetLPUARTClockFreq,0x5e268b65,uint32_t LL_RCC_GetLPUARTClockFreq(uint32_t),lib/stm32wb_hal/Inc/stm32wbxx_ll_rcc.h,supported
88.3,Function,-,LL_RCC_GetRFWKPClockFreq,0x74383d77,uint32_t LL_RCC_GetRFWKPClockFreq(),lib/stm32wb_hal/Inc/stm32wbxx_ll_rcc.h,disabled
88.3,Function,-,LL_RCC_GetRNGClockFreq,0x9ff27094,uint32_t LL_RCC_GetRNGClockFreq(uint32_t),lib/stm32wb_hal/Inc/stm32wbxx_ll_rcc.h,disabled
88.3,Function,-,LL_RCC_GetRTCClockFreq,0xaff46b96,uint32_t LL_RCC_GetRTCClockFreq(),lib/stm32wb_hal/Inc/stm32wbxx_ll_rcc.h,disabled
88.3,Function,-,LL_RCC_GetSAIClockFreq,0x1345bbea,uint32_t LL_RCC_GetSAIClockFreq(uint32_t),lib/stm32wb_hal/Inc/stm32wbxx_ll_rcc.h,disabled
88.3,Function,-,LL_RCC_GetSMPSClockFreq,0xcc7b3cf0,uint32_t LL_RCC_GetSMPSClockFreq(),lib/stm32wb_hal/Inc/stm32wbxx_ll_rcc.h,disabled
88.3,Function,-,LL_RCC_GetSystemClocksFreq,0x0b864065,void LL_RCC_GetSystemClocksFreq(LL_RCC_ClocksTypeDef*),lib/stm32wb_hal/Inc/stm32wbxx_ll_rcc.h;lib/stm32wb_hal/Inc/stm32wbxx_ll_utils.h,disabled
88.3,Function,+,LL_RCC_GetUSARTClockFreq,0xae9598dc,uint32_t LL_RCC_GetUSARTClockFreq(uint32_t),lib/stm32wb_hal/Inc/stm32wbxx_ll_rcc.h,supported
88.3,Function,-,LL_RCC_GetUSBClockFreq,0xb9673d57,uint32_t LL_RCC_GetUSBClockFreq(uint32_t),lib/stm32wb_hal/Inc/stm32wbxx_ll_rcc.h,disabled
88.3,Function,-,LL_RNG_DeInit,0x8931037f,ErrorStatus LL_RNG_DeInit(RNG_TypeDef*),lib/stm32wb_hal/Inc/stm32wbxx_ll_rng.h,disabled
88.3,Function,-,LL_RNG_Init,0xbe149556,"ErrorStatus LL_RNG_Init(RNG_TypeDef*, LL_RNG_InitTypeDef*)",lib/stm32wb_hal/Inc/stm32wbxx_ll_rng.h,disabled
88.3,Function,-,LL_RNG_StructInit,0xec6b821b,void LL_RNG_StructInit(LL_RNG_InitTypeDef*),lib/stm32wb_hal/Inc/stm32wbxx_ll_rng.h,disabled
88.3,Function,-,LL_RTC_ALMA_Init,0x34002cb2,"ErrorStatus LL_RTC_ALMA_Init(RTC_TypeDef*, uint32_t, LL_RTC_AlarmTypeDef*)",lib/stm32wb_hal/Inc/stm32wbxx_ll_rtc.h,disabled
88.3,Function,-,LL_RTC_ALMA_StructInit,0x2a5a2e77,void LL_RTC_ALMA_StructInit(LL_RTC_AlarmTypeDef*),lib/stm32wb_hal/Inc/stm32wbxx_ll_rtc.h,disabled
88.3,Function,-,LL_RTC_ALMB_Init,0x36555553,"ErrorStatus LL_RTC_ALMB_Init(RTC_TypeDef*, uint32_t, LL_RTC_AlarmTypeDef*)",lib/stm32wb_hal/Inc/stm32wbxx_ll_rtc.h,disabled
88.3,Function,-,LL_RTC_ALMB_StructInit,0x5b4d8bd8,void LL_RTC_ALMB_StructInit(LL_RTC_AlarmTypeDef*),lib/stm32wb_hal/Inc/stm32wbxx_ll_rtc.h,disabled
88.3,Function,-,LL_RTC_DATE_Init,0x8ecda5d5,"ErrorStatus LL_RTC_DATE_Init(RTC_TypeDef*, uint32_t, LL_RTC_DateTypeDef*)",lib/stm32wb_hal/Inc/stm32wbxx_ll_rtc.h,disabled
88.3,Function,-,LL_RTC_DATE_StructInit,0x77d4b5da,void LL_RTC_DATE_StructInit(LL_RTC_DateTypeDef*),lib/stm32wb_hal/Inc/stm32wbxx_ll_rtc.h,disabled
88.3,Function,-,LL_RTC_DeInit,0x93145601,ErrorStatus LL_RTC_DeInit(RTC_TypeDef*),lib/stm32wb_hal/Inc/stm32wbxx_ll_rtc.h,disabled
88.3,Function,+,LL_RTC_EnterInitMode,0xa29e49db,ErrorStatus LL_RTC_EnterInitMode(RTC_TypeDef*),lib/stm32wb_hal/Inc/stm32wbxx_ll_rtc.h,supported
